,0
0,200.0
1,200.0
2,200.0
3,200.0
4,158.0
5,200.0
6,200.0
7,200.0
8,163.0
9,200.0
10,200.0
11,184.0
12,200.0
13,200.0
14,165.0
15,170.0
16,200.0
17,200.0
18,200.0
19,200.0
20,200.0
21,172.0
22,137.0
23,200.0
24,200.0
25,187.0
26,180.0
27,169.0
28,200.0
29,158.0
30,200.0
31,169.0
32,200.0
33,166.0
34,173.0
35,147.0
36,200.0
37,200.0
38,200.0
39,178.0
40,150.0
41,200.0
42,200.0
43,200.0
44,200.0
45,179.0
46,200.0
47,200.0
48,200.0
49,200.0
50,200.0
51,200.0
52,174.0
53,200.0
54,200.0
55,200.0
56,137.0
57,200.0
58,200.0
59,182.0
60,200.0
61,200.0
62,189.0
63,192.0
64,200.0
65,200.0
66,200.0
67,197.0
68,200.0
69,200.0
70,200.0
71,175.0
72,189.0
73,200.0
74,200.0
75,171.0
76,200.0
77,200.0
78,200.0
79,167.0
80,200.0
81,200.0
82,200.0
83,145.0
84,200.0
85,156.0
86,200.0
87,180.0
88,200.0
89,200.0
90,200.0
91,200.0
92,165.0
93,200.0
94,189.0
95,187.0
96,200.0
97,200.0
98,200.0
99,178.0
100,200.0
101,200.0
102,200.0
103,183.0
104,200.0
105,177.0
106,142.0
107,200.0
108,200.0
109,200.0
110,200.0
111,200.0
112,200.0
113,200.0
114,200.0
115,199.0
116,200.0
117,145.0
118,200.0
119,200.0
120,155.0
121,138.0
122,200.0
123,200.0
124,183.0
125,200.0
126,162.0
127,177.0
128,200.0
129,200.0
130,200.0
131,200.0
132,200.0
133,200.0
134,173.0
135,200.0
136,200.0
137,174.0
138,200.0
139,200.0
140,200.0
141,161.0
142,143.0
143,166.0
144,190.0
145,161.0
146,200.0
147,200.0
148,200.0
149,200.0
150,200.0
151,166.0
152,200.0
153,160.0
154,161.0
155,168.0
156,157.0
157,200.0
158,200.0
159,200.0
160,200.0
161,200.0
162,200.0
163,200.0
164,200.0
165,200.0
166,182.0
167,200.0
168,200.0
169,200.0
170,200.0
171,200.0
172,165.0
173,200.0
174,168.0
175,176.0
176,200.0
177,177.0
178,200.0
179,159.0
180,200.0
181,200.0
182,200.0
183,200.0
184,200.0
185,137.0
186,200.0
187,145.0
188,200.0
189,145.0
190,154.0
191,190.0
192,200.0
193,147.0
194,200.0
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
200,200.0
201,200.0
202,200.0
203,160.0
204,191.0
205,169.0
206,200.0
207,200.0
208,200.0
209,200.0
210,200.0
211,179.0
212,153.0
213,152.0
214,200.0
215,161.0
216,200.0
217,171.0
218,200.0
219,200.0
220,180.0
221,200.0
222,200.0
223,200.0
224,200.0
225,200.0
226,155.0
227,143.0
228,151.0
229,172.0
230,181.0
231,200.0
232,200.0
233,200.0
234,200.0
235,200.0
236,200.0
237,200.0
238,200.0
239,156.0
240,200.0
241,176.0
242,153.0
243,143.0
244,160.0
245,200.0
246,200.0
247,200.0
248,200.0
249,165.0
250,170.0
251,200.0
252,200.0
253,200.0
254,200.0
255,200.0
256,171.0
257,200.0
258,200.0
259,200.0
260,200.0
261,200.0
262,193.0
263,189.0
264,200.0
265,158.0
266,200.0
267,200.0
268,144.0
269,155.0
270,191.0
271,200.0
272,200.0
273,200.0
274,200.0
275,163.0
276,200.0
277,177.0
278,200.0
279,200.0
280,200.0
281,200.0
282,185.0
283,170.0
284,200.0
285,156.0
286,147.0
287,158.0
288,200.0
289,200.0
290,162.0
291,156.0
292,200.0
293,200.0
294,200.0
295,200.0
296,200.0
297,174.0
298,200.0
299,200.0
300,162.0
301,146.0
302,158.0
303,200.0
304,153.0
305,200.0
306,148.0
307,200.0
308,200.0
309,200.0
310,200.0
311,200.0
312,192.0
313,200.0
314,200.0
315,200.0
316,200.0
317,198.0
318,200.0
319,181.0
320,200.0
321,200.0
322,178.0
323,200.0
324,200.0
325,200.0
326,200.0
327,200.0
328,200.0
329,189.0
330,200.0
331,200.0
332,200.0
333,193.0
334,173.0
335,193.0
336,200.0
337,200.0
338,200.0
339,200.0
340,200.0
341,200.0
342,200.0
343,141.0
344,182.0
345,200.0
346,200.0
347,200.0
348,150.0
349,200.0
350,200.0
351,200.0
352,200.0
353,200.0
354,155.0
355,200.0
356,200.0
357,200.0
358,200.0
359,165.0
360,200.0
361,200.0
362,200.0
363,200.0
364,174.0
365,200.0
366,200.0
367,200.0
368,154.0
369,200.0
370,164.0
371,141.0
372,200.0
373,200.0
374,167.0
375,162.0
376,200.0
377,167.0
378,200.0
379,200.0
380,200.0
381,200.0
382,200.0
383,200.0
384,200.0
385,161.0
386,200.0
387,200.0
388,200.0
389,200.0
390,200.0
391,200.0
392,200.0
393,200.0
394,200.0
395,200.0
396,200.0
397,177.0
398,200.0
399,178.0
400,200.0
401,200.0
402,200.0
403,171.0
404,200.0
405,200.0
406,189.0
407,200.0
408,177.0
409,151.0
410,200.0
411,196.0
412,200.0
413,200.0
414,157.0
415,200.0
416,200.0
417,200.0
418,151.0
419,200.0
420,200.0
421,200.0
422,200.0
423,200.0
424,200.0
425,164.0
426,200.0
427,200.0
428,200.0
429,200.0
430,171.0
431,200.0
432,200.0
433,149.0
434,188.0
435,200.0
436,173.0
437,200.0
438,200.0
439,200.0
440,200.0
441,200.0
442,200.0
443,200.0
444,200.0
